Inteiro Teor;Título;Estágio;Relator;Órgão;Amostras
https://pje.trt2.jus.br/jurisprudencia/61bbd7d826c69bcceb6bd21e49908cc6;Processo ROT - 1001050-38.2023.5.02.0008;Acórdão - Data de assinatura: 18/11/2024;Relator(a): Candida Alves Leao;Relator(a): Candida Alves Leao;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/0a06792a75d08c0ceece6a424fba0d64;Processo ATOrd - 1001544-85.2023.5.02.0303;Sentença - Data de assinatura: 18/11/2024;Órgão julgador: 3ª Vara do Trabalho de Guarujá;Órgão julgador: 3ª Vara do Trabalho de Guarujá;"• A única testemunha ouvida, por sua vez, afirmou que desde a contratação “pegavam as mercadorias que chegavam (hortifrutis, arroz, feijão; que também limpavam a cozinha; que sempre fizeram esse serviço desde que foram contratadas” (fl. 2830), deixando claro que nem mesmo ocorreu alteração nas funções, que sempre foram as mesmas...."
https://pje.trt2.jus.br/jurisprudencia/7bdb84aa143be9c5ff3fff1021af328e;Processo ATOrd - 1000300-43.2024.5.02.0447;Sentença - Data de assinatura: 16/11/2024;Órgão julgador: 7ª Vara do Trabalho de Santos;Órgão julgador: 7ª Vara do Trabalho de Santos;• A primeira testemunha da ré afirmou que trabalha na reclamada desde fevereiro de 2024 e não trabalhou com a autora, mas trabalhou na mesma loja e se alimenta no local de trabalho, sendo fornecida marmita, lanche ou pode trazer de casa e na marmita vem arroz, feijão e mistura e os lanches são os combos que vendem no local, sendo que o frango é o steak de frango e tem geladeira para os empregados e a geladeira já existia quando entrou na ré....
https://pje.trt2.jus.br/jurisprudencia/bb06ef7cb0d15ceaca6dc87502e883dc;Processo RORSum - 1000889-97.2023.5.02.0082;Acórdão - Data de assinatura: 14/11/2024;Relator(a): Adriana Maria Battistelli Varellis;Relator(a): Adriana Maria Battistelli Varellis;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/18d52e2e5796ec7edc850715d861fb6b;Processo ROT - 1001252-07.2023.5.02.0043;Acórdão - Data de assinatura: 14/11/2024;Relator(a): Ricardo Apostolico Silva;Relator(a): Ricardo Apostolico Silva;Ementa:
https://pje.trt2.jus.br/jurisprudencia/0b2f2a0c430f67b25cee53b1749a59f2;Processo ATOrd - 1001292-91.2024.5.02.0612;Sentença - Data de assinatura: 13/11/2024;Órgão julgador: 12ª Vara do Trabalho de São Paulo - Zona Leste;Órgão julgador: 12ª Vara do Trabalho de São Paulo - Zona Leste;• Entende-se por refeição comercial um prato composto de arroz, feijão, salada e algum tipo de proteína. Todavia, a substituição ao fast food, disponibilizada pela reclamada, era apenas de salada e de proteína do próprio cardápio dos lanches, conforme admitido na defesa....
https://pje.trt2.jus.br/jurisprudencia/1b8d9d347c4912f99367e35750444ac8;Processo ROT - 1001078-60.2023.5.02.0281;Acórdão - Data de assinatura: 13/11/2024;Relator(a): Wilson Ricardo Buquetti Pirotta;Relator(a): Wilson Ricardo Buquetti Pirotta;Ementa:
https://pje.trt2.jus.br/jurisprudencia/db6d985be637c029593770f3ef82a31c;Processo ATOrd - 1000809-22.2024.5.02.0431;Sentença - Data de assinatura: 13/11/2024;Órgão julgador: 1ª Vara do Trabalho de Santo André;Órgão julgador: 1ª Vara do Trabalho de Santo André;• E a testemunha trazida pela autora confirmou que a reclamada fornecia lanche, batata e bebida (refrigerante), bem como que não eram servidos salada, arroz, frutas ou sucos. Dessa forma, restou comprovado que a reclamada não fornecia a refeição descrita na norma coletiva e também não há prova de que a ré facultou ao empregado o direito de receber o vale-refeição previsto na norma coletiva. Correta a sentença....
https://pje.trt2.jus.br/jurisprudencia/1d59fd48f30fa4aafb2aa6a1e2a5e9d5;Processo ATOrd - 1001521-67.2023.5.02.0715;Sentença - Data de assinatura: 13/11/2024;Órgão julgador: 15ª Vara do Trabalho de São Paulo - Zona Sul;Órgão julgador: 15ª Vara do Trabalho de São Paulo - Zona Sul;• Em verdade, a prova documental juntada pelo próprio obreiro demonstra que o autor realizava carregamento de diversos produtos para diversas empresas, uma vez que o documento de Id. 9084956 faz prova de que o autor transportava também cerveja (fl. 77 dos autos baixados integrais e com capa), arroz beneficiado (fl. 81, Id. 813818e), além de realizar frete para outras transportadoras, conforme se observa nos recibos de Id. 516f2f9 (fl. 76)....
https://pje.trt2.jus.br/jurisprudencia/46db7716bf405dc5bbe5e64ee8b32ac0;Processo ROT - 1001031-43.2023.5.02.0263;Acórdão - Data de assinatura: 12/11/2024;Relator(a): Susete Mendes Barbosa de Azevedo;Relator(a): Susete Mendes Barbosa de Azevedo;Amostras do Inteiro Teor:
